DAILY_COUNT,date
7074,2023/08/18
6711,2023/08/19
7091,2023/08/20
6827,2023/08/21
7151,2023/08/22
7400,2023/08/23
7129,2023/08/24
7060,2023/08/25
6897,2023/08/26
6465,2023/08/27
5941,2023/08/28
6545,2023/08/29
6337,2023/08/30
6378,2023/08/31
6339,2023/09/01
6987,2023/09/02
7151,2023/09/03
6677,2023/09/04
6847,2023/09/05
6442,2023/09/06
6468,2023/09/07
6446,2023/09/08
7178,2023/09/09
7297,2023/09/10
7301,2023/09/11
6904,2023/09/12
7085,2023/09/13
6429,2023/09/14
6754,2023/09/15
7253,2023/09/16
7583,2023/09/17
7291,2023/09/18
7113,2023/09/19
6571,2023/09/20
6531,2023/09/21
6583,2023/09/22
7169,2023/09/23
7060,2023/09/24
6719,2023/09/25
6837,2023/09/26
6644,2023/09/27
6241,2023/09/28
5510,2023/09/29
6429,2023/09/30
6075,2023/10/01
6733,2023/10/02
6763,2023/10/03
6659,2023/10/04
6810,2023/10/05
7137,2023/10/06
5760,2023/10/07
5999,2023/10/08
6854,2023/10/09
6834,2023/10/10
6885,2023/10/11
6387,2023/10/12
6556,2023/10/13
7248,2023/10/14
7028,2023/10/15
6950,2023/10/16
6783,2023/10/17
7026,2023/10/18
6499,2023/10/19
6361,2023/10/20
7088,2023/10/21
7123,2023/10/22
7044,2023/10/23
6936,2023/10/24
6957,2023/10/25
6689,2023/10/26
6578,2023/10/27
7016,2023/10/28
7389,2023/10/29
7292,2023/10/30
6871,2023/10/31
6958,2023/11/01
6678,2023/11/02
6685,2023/11/03
7312,2023/11/04
7203,2023/11/05
6677,2023/11/06
6862,2023/11/07
6684,2023/11/08
6361,2023/11/09
6477,2023/11/10
7196,2023/11/11
7110,2023/11/12
7032,2023/11/13
7270,2023/11/14
7247,2023/11/15
7123,2023/11/16
7003,2023/11/17
7583,2023/11/18
7791,2023/11/19
7553,2023/11/20
7815,2023/11/21
6873,2023/11/22
6846,2023/11/23
6444,2023/11/24
6620,2023/11/25
6790,2023/11/26
6472,2023/11/27
6326,2023/11/28
5929,2023/11/29
5675,2023/11/30
5780,2023/12/01
6426,2023/12/02
6548,2023/12/03
6234,2023/12/04
6413,2023/12/05
5981,2023/12/06
5894,2023/12/07
6027,2023/12/08
6520,2023/12/09
6646,2023/12/10
5887,2023/12/11
6204,2023/12/12
6322,2023/12/13
5837,2023/12/14
5544,2023/12/15
5695,2023/12/16
6472,2023/12/17
6334,2023/12/18
6432,2023/12/19
5601,2023/12/20
5550,2023/12/21
5598,2023/12/22
6601,2023/12/23
6771,2023/12/24
6820,2023/12/25
6960,2023/12/26
6984,2023/12/27
6437,2023/12/28
6277,2023/12/29
6746,2023/12/30
6698,2023/12/31
6816,2024/01/01
7289,2024/01/02
7086,2024/01/03
7028,2024/01/04
6944,2024/01/05
7275,2024/01/06
7511,2024/01/07
7236,2024/01/08
7432,2024/01/09
7181,2024/01/10
6966,2024/01/11
7034,2024/01/12
7229,2024/01/13
7278,2024/01/14
7091,2024/01/15
7169,2024/01/16
6742,2024/01/17
6534,2024/01/18
6752,2024/01/19
6805,2024/01/20
6823,2024/01/21
5803,2024/01/22
6418,2024/01/23
7099,2024/01/24
6531,2024/01/25
6399,2024/01/26
6804,2024/01/27
6764,2024/01/28
6936,2024/01/29
7084,2024/01/30
6861,2024/01/31
6131,2024/02/01
6010,2024/02/02
6430,2024/02/03
5533,2024/02/04
4992,2024/02/05
6338,2024/02/06
6476,2024/02/07
5402,2024/02/08
2748,2024/02/09
2334,2024/02/10
3566,2024/02/11
3847,2024/02/12
4669,2024/02/13
4845,2024/02/14
5258,2024/02/15
6084,2024/02/16
5919,2024/02/17
5647,2024/02/18
6616,2024/02/19
5055,2024/02/20
4129,2024/02/21
4248,2024/02/22
5732,2024/02/23
5378,2024/02/24
5703,2024/02/25
5654,2024/02/26
5702,2024/02/27
5623,2024/02/28
5093,2024/02/29
5396,2024/03/01
6229,2024/03/02
6461,2024/03/03
6015,2024/03/04
5905,2024/03/05
5882,2024/03/06
5646,2024/03/07
6116,2024/03/08
6163,2024/03/09
6430,2024/03/10
6403,2024/03/11
6077,2024/03/12
